Scarlet Oak	cname	Deciduous	leaf type	Simple
Flowering Dogwood	cname	Deciduous	leaf type	Simple
Common Bald Cypress	cname	Deciduous	leaf type	Compound
Persian Ironwood	cname	Deciduous	leaf type	Simple
Norway Maple	cname	Deciduous	leaf type	Simple
Eastern Hophornbeam	cname	Deciduous	leaf type	Simple
Kentucky Coffee Tree	cname	Deciduous	leaf type	Compound
Flowering Dogwood 2	cname	Deciduous	leaf type	Simple
Red Maple	cname	Deciduous	leaf type	Simple
Accolade Elm	cname	Deciduous	leaf type	Simple
Purple Fountain Weeping Beech	cname	Deciduous	leaf type	Simple
Eastern Hemlock	cname	Coniferous	leaf type	Evergreen
Kousa Dogwood	cname	Deciduous	leaf type	Simple
Blue Spruce 2	cname	Coniferous	leaf type	Evergreen
Fraser Fir	cname	Coniferous	leaf type	Evergreen
White Fringe	cname	Deciduous	leaf type	Simple
White Pine	cname	Coniferous	leaf type	Evergreen
Norway Spruce	cname	Coniferous	leaf type	Evergreen
Lost Franklinia	cname	Deciduous	leaf type	Simple
Common Hackberry	cname	Deciduous	leaf type	Simple
Dawn Redwood	cname	Coniferous	leaf type	Evergreen
Bald Cypress	cname	Deciduous	leaf type	Simple
American Chestnut	cname	Deciduous	leaf type	Simple
Kaki Persimmon	cname	Deciduous	leaf type	Simple
Maidenhair Tree	cname	Deciduous	leaf type	Simple
Black Gum	cname	Deciduous	leaf type	Simple
Hardy Pecan	cname	Deciduous	leaf type	Simple
Nanking Cherry	cname	Deciduous	leaf type	Simple
Norway Maple 2	cname	Deciduous	leaf type	Simple
Northern Red Oak	cname	Deciduous	leaf type	Simple
River's Purple Beech	cname	Deciduous	leaf type	Simple
Wildfire Black Gum	cname	Deciduous	leaf type	Simple
Bur Oak	cname	Deciduous	leaf type	Simple
American Sweetgum	cname	Deciduous	leaf type	Simple
Japanese Stewartia	cname	Deciduous	leaf type	Simple
Loblolly Pine	cname	Coniferous	leaf type	Evergreen
