Scarlet Oak	tree name	Deciduous	origin	North America
Flowering Dogwood	tree name	Deciduous	origin	North America
Common Bald Cypress	tree name	Deciduous	origin	North America
Persian Ironwood	tree name	Deciduous	origin	Asia
Norway Maple	tree name	Deciduous	origin	Europe
Eastern Hophornbeam	tree name	Deciduous	origin	North America
Kentucky Coffee Tree	tree name	Deciduous	origin	North America
Flowering Dogwood 2	tree name	Deciduous	origin	North America
Red Maple	tree name	Deciduous	origin	North America
Accolade Elm	tree name	Deciduous	origin	North America
Purple Fountain Weeping Beech	tree name	Deciduous	origin	Europe
Eastern Hemlock	tree name	Coniferous	origin	North America
Kousa Dogwood	tree name	Deciduous	origin	Asia
Kousa Dogwood	tree name	Deciduous	origin	Asia
Blue Spruce 2	tree name	Coniferous	origin	North America
Fraser Fir	tree name	Coniferous	origin	North America
White Fringe	tree name	Deciduous	origin	North America
White Pine	tree name	Coniferous	origin	North America
Norway Spruce	tree name	Coniferous	origin	Europe
Lost Franklinia	tree name	Deciduous	origin	North America
Common Hackberry	tree name	Deciduous	origin	North America
Dawn Redwood	tree name	Coniferous	origin	Asia
Bald Cypress	tree name	Deciduous	origin	North America
American Chestnut	tree name	Deciduous	origin	North America
Kaki Persimmon	tree name	Deciduous	origin	Asia
Maidenhair Tree	tree name	Deciduous	origin	Asia
Black Gum	tree name	Deciduous	origin	North America
Hardy Pecan	tree name	Deciduous	origin	North America
Nanking Cherry	tree name	Deciduous	origin	Asia
Norway Maple 2	tree name	Deciduous	origin	Europe
Northern Red Oak	tree name	Deciduous	origin	North America
River's Purple Beech	tree name	Deciduous	origin	Europe
River's Purple Beech	tree name	Deciduous	origin	North America
Wildfire Black Gum	tree name	Deciduous	origin	North America
Bur Oak	tree name	Deciduous	origin	North America
Bur Oak	tree name	Deciduous	origin	North America
American Sweetgum	tree name	Deciduous	origin	North America
American Sweetgum	tree name	Deciduous	origin	North America
American Sweetgum	tree name	Deciduous	origin	Europe
Japanese Stewartia	tree name	Deciduous	origin	Asia
Loblolly Pine	tree name	Coniferous	origin	North America
Prairiefire Flowering Crabapple	tree name	Deciduous	origin	Europe
Black Walnut	tree name	Deciduous	origin	Europe
Black Walnut	tree name	Deciduous	origin	North America
Snowdrift Crabapple	tree name	Deciduous	origin	North America
Snowdrift Crabapple	tree name	Deciduous	origin	Europe
Yellow Buckeye	tree name	Deciduous	origin	North America
Flowering Dogwood 3	tree name	Deciduous	origin	North America
Eastern Redbud	tree name	Deciduous	origin	North America
Pin Oak	tree name	Deciduous	origin	North America
Pin Oak	tree name	Deciduous	origin	Europe
Copper Beech	tree name	Deciduous	origin	Europe
American Holly	tree name	Deciduous	origin	North America
Sourwood	tree name	Deciduous	origin	North America
Littleleaf Linden	tree name	Deciduous	origin	Europe
Littleleaf Linden	tree name	Deciduous	origin	Europe
Sugar Maple	tree name	Deciduous	origin	North America
English Oak	tree name	Deciduous	origin	Europe
Western Tamarack (Larch)	tree name	Coniferous	origin	North America
Chestnut Oak	tree name	Deciduous	origin	North America
Tulip Tree	tree name	Deciduous	origin	North America
Plains Cottonwood	tree name	Deciduous	origin	North America
Douglas Fir	tree name	Coniferous	origin	North America
Thornless Honeylocust	tree name	Deciduous	origin	North America
Thornless Honeylocust	tree name	Deciduous	origin	Europe
